"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"Mrpl44","OK",0,43.569177554701,0.105693382760036,"Mrpl44",0
"Serpine2","OK",0,114.356617865335,0.277464013644683,"Serpine2",0
"Dock10","OK",0,78.5149149063608,0.19052035586875,"Dock10",0
"Irs1","OK",0,43.2915383184532,0.093786773751057,"Irs1",0
"Mff","OK",0,37.6771755329183,0.0913881694232288,"Mff",0
"Pid1","OK",0,161.548347076073,0.389629363419981,"Pid1",0
"Sp110","OK",0,48.2895061929429,0.117150964554951,"Sp110",0
"Itm2c","OK",0,64.942651085437,0.15757528436665,"Itm2c",0
"Psmd1","OK",0,58.3028994650577,0.141456100425606,"Psmd1",0
"Ncl","OK",0,180.099862465201,0.436861210767456,"Ncl",0
"Ptma","OK",0,275.552204331215,0.667791150951246,"Ptma",0
"Pde6d","OK",0,55.6593594715216,0.135041260138875,"Pde6d",0
"Eif4e2","OK",0,60.8215236839286,0.14756715909703,"Eif4e2",0
"Dgkd","OK",0,66.5304823472206,0.161428142379936,"Dgkd",0
"Usp40","OK",0,146.598282210469,0.355781737590502,"Usp40",0
"Hjurp","OK",0,108.360108048639,0.262966360486165,"Hjurp",0
"Arl4c","OK",0,42.9284766067144,0.104113805556908,"Arl4c",0
"Col6a3","OK",0,39.6654182671666,0.0832099639935534,"Col6a3",0
"Lrrfip1","OK",0,37.6772539815527,0.0913894368359674,"Lrrfip1",0
"Ramp1","OK",0,208.097733229538,0.505027236542079,"Ramp1",0
"Ilkap","OK",0,41.9304383841669,0.101712763504758,"Ilkap",0
"Hes6","OK",0,46.8554877230882,0.113670290596922,"Hes6",0
"Ndufa10","OK",0,78.8227137777473,0.191257097706847,"Ndufa10",0
"Cops9","OK",0,69.1278722991916,0.167720949064283,"Cops9",0
"Otos","OK",0,81.8471445076856,0.198596763233895,"Otos",0
"Gpc1","OK",0,82.2159647059533,0.199419267994207,"Gpc1",0
"Gpr35","OK",0,53.9193524441754,0.128985380565631,"Gpr35",0
"Pask","OK",0,46.8472658073183,0.113618753950236,"Pask",0
"Ppp1r7","OK",0,52.5291075360311,0.127442675056416,"Ppp1r7",0
"Hdlbp","OK",0,76.1989666829356,0.184891309011538,"Hdlbp",0
"Dtymk","OK",0,127.207809749622,0.308695696027085,"Dtymk",0
"Fam174a","OK",0,40.9145132588945,0.0992491585945441,"Fam174a",0
"St8sia4","OK",0,203.586201360194,0.494105251495931,"St8sia4",0
"Slco4c1","OK",0,138.78464666538,0.334911706971086,"Slco4c1",0
"Panct2","OK",0,39.9515228044154,0.0958718343414282,"Panct2",0
"D1Ertd622e","OK",0,112.180559520559,0.272224470968392,"D1Ertd622e",0
